Date,US Corp Cash,FICM IG,CDX 5yr IG,CDX 5yr HY,FICM HY,CMBX.BBB.6 Spread,CMBX.BBB.7 Spread,CMBX.BBB.8 Spread,CMBX.BBB.9 Spread,CMBX.BBB.10 Spread,CMBX.BBB.11 Spread,CMBX.BBB.12 Spread,CMBX.BBB.13 Spread,CMBX.BBB.14 Spread
1/2/2020,,,44.3,274,,502,283.6,346.5,306.6,299.6,317.4,327.8,,
1/3/2020,,,45.9,280.1,,503.5,284.7,348.9,308.2,301.9,319.8,330.8,,
1/6/2020,106,,46.3,279.9,,500.9,281.3,346,304.1,296.9,314.2,324.8,,
1/7/2020,106.5,,46.8,283.3,,503.1,285.5,349,309.1,301.7,317.8,327,,
11/8/2020,105.1,,45.3,280.1,,502.4,284.6,347.5,307.7,301.6,315.8,324.4,,
1/9/2020,104.1,,44,275.8,,502.7,285.5,346.2,305.9,300.1,313.1,320.8,,
1/10/2020,102.7,,44.3,278,,505.1,287,347.2,306.9,300.9,313,321.2,,
1/13/2020,102.7,,44.3,277.6,,504.5,287.2,347.1,306.6,300.8,312.8,321,,
1/14/2020,102.6,,44.8,280.3,,506,288.5,347.6,306.7,301,313.2,321.8,,
1/15/2020,102.2,,44.9,281,,508.3,287.7,345.9,303.3,298.7,310.6,319.7,,
1/16/2020,101.1,,44.1,278.8,,510.4,286.4,344.6,301.1,297.11,307.5,317.2,,
1/17/2020,99.2,,44.2,278,,513.3,287.3,345.6,301.4,297.2,307.2,317.1,,
1/21/2020,98.96,,45.9,283.7,,522.3,292,349.6,305.1,300.3,310.9,320.6,,
1/22/2020,99.07,,45.2,283.6,,525.4,294,350.7,305.1,300.2,310.4,319.6,,
1/23/2020,100.78,,46.2,288.9,,530.5,297.9,353.5,305.5,300.4,310,317.6,,
1/24/2020,102.5,,47.2,294.6,,542.8,303.5,356.9,309.2,302.9,312.4,319.7,,
1/27/2020,106.49,,49.5,308.8,,562.72,313.05,365.13,317.16,310.76,320.37,327.68,347.64,
1/28/2020,105.08,,46.8,295.8,,556,302.54,356.1,304.76,298.04,306.45,313.98,339.56,
1/29/2020,105.68,,48.2,301.4,,553.33,302.72,357.43,305.69,299.07,306.82,313.68,339.67,
1/30/2020,107.15,,47.7,296.6,,552.84,302.2,357.8,306.5,299.11,307.38,312.18,339.73,
1/31/2020,109.28,,50.3,304,,562.54,310.52,367.24,316.12,309.83,316.9,32.12,350.56,
2/3/2020,108.06,,50.3,304.9,,562.52,308.64,368.68,317.34,309.04,316.64,322.72,350.68,
2/4/2020,106.05,,47.3,293,,552.96,300.49,361.93,310.46,300.9,308.43,314.1,342.92,
2/5/2020,103.39,,45,282.5,,562.75,300.14,357.2,306.98,296.53,302.82,308.84,338.57,
2/6/2020,102.98,,45.5,283.9,,562.97,302.59,358.28,308.56,299.01,303.96,310.56,339.85,
2/7/2020,105.36,,46.3,289.1,,567.52,305.84,361.89,311.64,302.88,306.68,313.4,343.34,
2/10/2020,106.43,,45.4,286.7,,567.61,304.84,361.14,310.51,301.66,305.47,312.47,342.27,
2/11/2020,105.97,,45,282.9,,569.02,306.6,359.3,308.24,300.08,303.13,311.55,340.87,
2/12/2020,105.05,,44,279.44,,571.72,309.97,359.58,306.1,298.03,301.59,309.22,338.56,
2/13/2020,105.05,,43.97,280.34,,574.99,314.75,364.13,308.85,302.33,306.48,313.94,342.17,
2/14/2020,105.21,,44.4,283.2,,579.02,316.72,366.72,310.86,304.82,309.33,317.3,344.39,
2/18/2020,106.46,,44.8,287,,584.66,320.55,370.36,314.46,308.25,312.51,320.86,348.69,
2/19/2020,106.24,,44.8,286,,582.11,318.16,368.69,311.32,305.95,310.08,318.88,346.7,
